"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","123","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-7953655070]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","185","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-241570938]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","111","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-947651132]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","90","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-240450889]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","193","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-243154034]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:28 CST 2020","414","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingGetUserLeader[userId=-133744432730233274-id为石城榕]","
        钉钉-获取用户上级详情
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","199","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365526]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:30 CST 2020","Thu Mar 19 12:06:31 CST 2020","1431","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-广州战营]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:27 CST 2020","184","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-911240948]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:26 CST 2020","95","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-240730909]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","202","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365521]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","102","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365518]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:28 CST 2020","349","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUserList[userId=-061052015035430487-id为谢玉霞]","
        钉钉-获取当前用户下所有员工
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","177","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-947651132]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:29 CST 2020","Thu Mar 19 12:06:30 CST 2020","147","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-上海战区]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","201","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-267097103]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:32 CST 2020","Thu Mar 19 12:06:32 CST 2020","105","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-abc]","
        钉钉-获取部门下所有员工
        "
